iter	Passed	Remaining
417	2680	3732
418	2687	3726
419	2693	3720
420	2700	3713
421	2706	3707
422	2713	3700
423	2719	3694
424	2726	3689
425	2733	3683
426	2739	3676
427	2746	3670
428	2753	3664
429	2759	3658
430	2766	3652
431	2772	3645
432	2779	3639
433	2784	3631
434	2791	3625
435	2797	3618
436	2803	3611
437	2809	3604
438	2815	3597
439	2821	3591
440	2827	3584
441	2833	3577
442	2839	3570
443	2845	3563
444	2851	3556
445	2857	3549
446	2863	3542
447	2869	3535
448	2875	3528
449	2881	3521
450	2887	3514
451	2893	3507
452	2899	3500
453	2905	3494
454	2911	3487
455	2917	3480
456	2922	3473
457	2929	3466
458	2934	3459
459	2940	3452
460	2946	3445
461	2952	3438
462	2958	3431
463	2964	3424
464	2970	3417
465	2976	3410
466	2982	3404
467	2988	3397
468	2995	3391
469	3001	3384
470	3007	3377
471	3014	3371
472	3020	3365
473	3026	3358
474	3032	3351
475	3038	3344
476	3044	3337
477	3049	3330
478	3055	3323
479	3061	3316
480	3067	3309
481	3073	3302
482	3079	3295
483	3085	3289
484	3091	3282
485	3096	3275
486	3102	3268
487	3108	3261
488	3114	3254
489	3120	3247
490	3125	3240
491	3131	3233
492	3137	3226
493	3143	3219
494	3149	3212
495	3154	3205
496	3160	3198
497	3166	3192
498	3172	3185
499	3179	3179
500	3185	3172
501	3191	3165
502	3197	3159
503	3203	3152
504	3210	3147
505	3217	3140
506	3223	3134
507	3229	3127
508	3234	3120
509	3241	3114
510	3246	3107
511	3252	3100
512	3257	3092
513	3264	3086
514	3269	3079
515	3275	3072
516	3281	3066
517	3287	3059
518	3293	3052
519	3300	3046
520	3306	3039
521	3312	3033
522	3318	3026
523	3324	3019
524	3329	3012
525	3335	3005
526	3341	2998
527	3346	2991
528	3353	2985
529	3359	2978
530	3364	2971
531	3370	2965
532	3376	2958
533	3382	2952
534	3388	2945
535	3394	2938
536	3400	2932
537	3406	2925
538	3413	2919
539	3418	2912
540	3424	2905
541	3430	2899
542	3436	2892
543	3442	2885
544	3448	2879
545	3454	2872
546	3460	2865
547	3466	2859
548	3472	2852
549	3478	2845
550	3484	2839
551	3490	2833
552	3496	2826
553	3502	2819
554	3508	2812
555	3514	2806
556	3520	2799
557	3526	2793
558	3532	2786
559	3539	2780
560	3545	2774
561	3551	2767
562	3556	2760
563	3563	2754
564	3568	2747
565	3574	2741
566	3581	2734
567	3587	2728
568	3593	2721
569	3599	2715
570	3605	2708
571	3611	2702
572	3618	2696
573	3624	2690
574	3630	2683
575	3636	2676
576	3642	2669
577	3647	2663
578	3654	2657
579	3659	2650
580	3665	2643
581	3671	2636
582	3677	2630
583	3682	2623
584	3689	2617
585	3695	2610
586	3701	2604
587	3707	2597
588	3712	2590
589	3718	2584
590	3724	2577
591	3730	2570
592	3736	2564
593	3741	2557
594	3747	2550
595	3753	2544
596	3759	2538
597	3765	2531
598	3771	2524
599	3777	2518
600	3783	2511
601	3789	2505
602	3795	2499
603	3801	2492
604	3808	2486
605	3814	2479
606	3820	2473
607	3826	2467
608	3831	2460
609	3837	2453
610	3843	2446
611	3848	2440
612	3854	2433
613	3860	2426
614	3866	2420
615	3872	2414
616	3878	2407
617	3884	2401
618	3890	2394
619	3896	2388
620	3902	2381
621	3908	2375
622	3914	2368
623	3920	2362
624	3926	2355
625	3931	2349
626	3937	2342
627	3943	2336
628	3949	2329
629	3955	2323
630	3961	2316
631	3967	2310
632	3973	2303
633	3979	2297
634	3984	2290
635	3991	2284
636	3997	2277
637	4003	2271
638	4009	2265
639	4016	2259
640	4022	2252
641	4028	2246
642	4034	2239
643	4039	2233
644	4045	2226
645	4051	2220
646	4057	2213
647	4064	2207
