iter	RMSE
0	0.9490277214
1	0.8993732654
2	0.8521436649
3	0.8055870464
4	0.7643872973
5	0.7225394946
6	0.683724427
7	0.6467740291
8	0.6132482185
9	0.5825655395
10	0.5524613271
11	0.5241210867
12	0.4972366287
13	0.4742259112
14	0.4516489886
15	0.4279677534
16	0.4076733215
17	0.3884842607
18	0.369776836
19	0.3523541607
20	0.3353681932
21	0.3204247733
22	0.3061415221
23	0.2928421354
24	0.2803948547
25	0.2681057273
26	0.2564362311
27	0.2456238917
28	0.2364381227
29	0.2271736905
30	0.218963605
31	0.2113416918
32	0.2042590985
33	0.19750256
34	0.1907484689
35	0.1840429728
36	0.1777102916
37	0.1716570916
38	0.1660528747
39	0.1612341469
40	0.1560321068
41	0.1511298963
42	0.1471279532
43	0.1432866214
44	0.1395106808
45	0.1363813434
46	0.1335148115
47	0.1307226533
48	0.127999584
49	0.1250760507
50	0.1225746564
51	0.1199743406
52	0.1178558585
53	0.1154933215
54	0.1132869197
55	0.1111086478
56	0.1087936801
57	0.107289192
58	0.1057759967
59	0.1042198602
60	0.1024528156
61	0.100717521
62	0.09939788746
63	0.09823970138
64	0.097222536
65	0.09589944505
66	0.0946269252
67	0.09311199105
68	0.09216757138
69	0.09131355156
70	0.09008400985
71	0.08906142999
72	0.08790823432
73	0.08684729493
74	0.08599618488
75	0.08522480685
76	0.0841259531
77	0.08340406294
78	0.08247947087
79	0.08154468974
80	0.08065699238
81	0.07996576925
82	0.0789754671
83	0.07818969841
84	0.077822283
85	0.07705505705
86	0.07670334023
87	0.07625614161
88	0.07581807588
89	0.07519643314
90	0.07460185418
91	0.07388130322
92	0.07336335894
93	0.07302577185
94	0.07223618
95	0.07154212467
96	0.07121494684
97	0.07074347409
98	0.07016513676
99	0.06975370748
100	0.06926608637
101	0.06847322482
102	0.06799027678
103	0.06779561861
104	0.06756120037
105	0.067027094
106	0.06654224206
107	0.06604147861
108	0.06571946342
109	0.0653018732
110	0.06492789907
111	0.06448857773
112	0.06384151912
113	0.06334800656
114	0.06291515626
115	0.06242768287
116	0.06199334657
117	0.06179482653
118	0.06126228858
119	0.06071385391
120	0.06049051686
121	0.0602131195
122	0.05977440934
123	0.05927324965
124	0.05891267824
125	0.05841436125
126	0.05804388143
127	0.05773699804
128	0.05734238055
129	0.05701819775
130	0.05639777536
131	0.05603154264
132	0.05555014418
133	0.05515913788
134	0.05485368031
135	0.05449633208
136	0.05416391746
137	0.05385581832
138	0.05351160539
139	0.05317217561
140	0.05272602585
141	0.0523581369
142	0.05199305928
143	0.05157470937
144	0.05126004439
145	0.0509815343
146	0.05070858071
147	0.05018824986
148	0.04993792197
149	0.04969222865
150	0.04944054234
151	0.04921474522
152	0.04893518999
153	0.04862319987
154	0.04843517788
155	0.04814642831
156	0.04783163999
157	0.04759598401
158	0.04724227866
159	0.04688954185
160	0.04652758995
161	0.04625897568
162	0.04594376687
163	0.0456233734
164	0.04538183255
165	0.04523741589
166	0.04490022724
167	0.04465300268
168	0.04431437576
169	0.04412218192
170	0.04379532402
171	0.04347349048
172	0.04326064977
173	0.04304461989
174	0.04267255975
175	0.04238845551
176	0.04224071237
177	0.04206315189
178	0.04177447757
179	0.04156272692
180	0.04142966341
181	0.0411833301
182	0.0409507154
183	0.04075729462
184	0.04056938833
185	0.04038497047
186	0.04011460415
187	0.03979613935
188	0.03959738631
189	0.0393427142
190	0.03919397921
191	0.03905994352
192	0.03897624187
193	0.03881457442
194	0.03850258226
195	0.03821131495
196	0.03799380265
197	0.0377422087
198	0.03761507894
199	0.0373845685
200	0.03721837858
201	0.0370002466
202	0.03675862821
203	0.03664999872
204	0.03640043985
205	0.03626113046
206	0.03601294489
207	0.03585391134
208	0.03565477325
209	0.03545459602
210	0.03530076496
211	0.03508298807
212	0.03486927285
213	0.03464152386
214	0.03448539731
215	0.0343036343
216	0.03418512281
217	0.03400107064
218	0.0338254128
219	0.03363983619
220	0.03347469799
221	0.03328643026
222	0.03317235306
223	0.03308409859
224	0.03296704494
225	0.03283030504
226	0.03268006658
227	0.03257654256
228	0.03243168367
229	0.03234644342
230	0.03222104508
231	0.03213907716
232	0.03198994834
233	0.03179741743
234	0.03167163136
235	0.03154560254
236	0.03140277694
237	0.03123890532
238	0.03112998172
239	0.03105116037
240	0.03091402123
241	0.03085757498
242	0.03073590735
243	0.03057048472
244	0.03047175731
245	0.03037897236
246	0.03019043878
247	0.03001881683
248	0.02996237787
249	0.02982113937
250	0.02974624781
251	0.02964876518
252	0.02957297648
253	0.02945876049
254	0.02936315276
255	0.02926599365
256	0.02916388234
257	0.02902585709
258	0.02896285812
259	0.0288068577
260	0.02866578087
261	0.02856912474
262	0.02845239461
263	0.02837871099
264	0.02826831762
265	0.0281383097
266	0.02802115808
267	0.02792798491
268	0.02777847454
269	0.02764351918
270	0.02753182709
271	0.02743983637
272	0.02735686223
273	0.02730422695
274	0.0271859909
275	0.02712813413
276	0.02701388168
277	0.02690242724
278	0.02680689526
279	0.02670471363
280	0.02661990843
281	0.02652685899
282	0.02643963478
283	0.02638010584
284	0.02630498637
285	0.02624509462
286	0.02614461377
287	0.02605714345
288	0.02598652979
289	0.02590645241
290	0.02580607986
291	0.02574435719
292	0.02567764925
293	0.02558664031
294	0.02545988003
295	0.0253816217
296	0.02528976817
297	0.02519671331
298	0.02512984399
299	0.02505952737
300	0.02498199875
301	0.02489450717
302	0.02479379682
303	0.02469450028
304	0.02460990486
305	0.02455085971
306	0.02447237786
307	0.02441639957
308	0.02430779968
309	0.02422156782
310	0.02412647828
311	0.02410098478
312	0.02404575429
313	0.02396325633
314	0.02390749981
315	0.02385111386
316	0.02377431313
317	0.02367174019
318	0.02359861796
319	0.02354190221
320	0.02347562964
321	0.0234041301
322	0.02335758572
323	0.02332539166
324	0.02327641572
325	0.02324809183
326	0.02318701876
327	0.02311599706
328	0.02302858525
329	0.02293960449
330	0.02288743185
331	0.02281862094
332	0.02275942391
333	0.02270451652
334	0.02265851505
335	0.02260447847
336	0.02253464256
337	0.02247053949
338	0.02242093629
339	0.02238070098
340	0.02231285279
341	0.02225947239
342	0.02220199475
343	0.02215304797
344	0.02209029505
345	0.02202739215
346	0.02198332747
347	0.02190964689
348	0.02188783138
349	0.02182740451
350	0.02177715811
351	0.02171779337
352	0.02165850041
353	0.02159033055
354	0.02154809648
355	0.0215082421
356	0.02146919317
357	0.02139146053
358	0.0213278134
359	0.02126504025
360	0.02119039074
361	0.02113517774
362	0.02108154328
363	0.02102127986
364	0.02096181312
365	0.02089459542
366	0.02084103081
367	0.02078072568
368	0.02072482357
369	0.02067886035
370	0.02061910524
371	0.02057852578
372	0.02052684284
373	0.02048459821
374	0.02042098196
375	0.02037103814
376	0.02031594684
377	0.0202642773
378	0.02022441907
379	0.02019644011
380	0.02013982629
381	0.02009248283
382	0.02003853593
383	0.01997238776
384	0.01992665567
385	0.01990073637
386	0.01984355062
387	0.0197945134
388	0.01972542242
389	0.01967433571
390	0.01962642923
391	0.01960046495
392	0.01954581179
393	0.01950000917
394	0.01945083464
395	0.01939276079
396	0.01934594445
397	0.01929655635
398	0.01926243925
399	0.01922065998
400	0.01917698143
401	0.01911552277
402	0.01909413246
403	0.01905082046
404	0.01899549029
405	0.01893343029
406	0.01889090409
407	0.01881533739
408	0.01876922872
409	0.01872179784
410	0.01867747298
411	0.01862559913
412	0.01860051672
413	0.01856141995
414	0.01852589279
415	0.01848573523
416	0.01844420077
417	0.01841222886
418	0.01837583546
419	0.01832822729
420	0.01830564556
421	0.01825720921
422	0.01821220158
423	0.01816703813
424	0.01811635503
425	0.01807668818
426	0.0180357418
427	0.0179894142
428	0.01796933138
429	0.01794329011
430	0.01789981875
431	0.01786097582
432	0.01783002785
433	0.01778424908
434	0.01774557357
435	0.01769015353
436	0.01766214545
437	0.01763905104
438	0.01761716731
439	0.01757513275
440	0.01754838378
441	0.01751506172
442	0.01747850318
443	0.01742611236
444	0.01739205146
445	0.01737329043
446	0.01734223866
447	0.01732853413
448	0.017300732
449	0.01728222074
450	0.01724140737
451	0.01720515214
452	0.017184306
453	0.01716510922
454	0.0171302575
455	0.01709150598
456	0.01705871593
457	0.0170239762
458	0.0169848578
459	0.01693869858
460	0.01691023184
461	0.01687266942
462	0.01685100837
463	0.01680972057
464	0.01678909545
465	0.01674463356
466	0.01672572694
